Blog-ID;Site-Name;Site-URL;Kategorie;Dienst;Quelle
1;"MiniCMS";https://www.minicms.wasserwacht.de;Chat/Support;Live Chat Plugin;"Plugin (generisch erkannt): ww_brk_chatbot/ww_brk_chatbot.php"
1;"MiniCMS";https://www.minicms.wasserwacht.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
3;"Wasserwacht Dachau";https://www.wasserwacht-dachau.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
5;"Wasserwacht Musterstadt";https://www.musterstadt.wasserwacht.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
10;"Wasserwacht Holzkirchen";https://www.wasserwacht-holzkirchen.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_8acc0d6bd566d7c66b21f36191b66415): ""Kalender"" (ID 10397)"
10;"Wasserwacht Holzkirchen";https://www.wasserwacht-holzkirchen.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
11;"Kreiswasserwacht Dingolfing Landau";https://www.ww-dingolfing-landau.de;Analytics/Tracking;Facebook SDK / Pixel;"Theme-Option (YOOtheme Wasserwacht)"
11;"Kreiswasserwacht Dingolfing Landau";https://www.ww-dingolfing-landau.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
13;"Wasserwacht Hirschau";https://www.hirschau.wasserwacht.de;Chat/Support;Live Chat Plugin;"Plugin (generisch erkannt): ww_brk_chatbot/ww_brk_chatbot.php"
13;"Wasserwacht Hirschau";https://www.hirschau.wasserwacht.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
14;"Kreiswasserwacht Pfaffenhofen an der Ilm";https://www.kww-pfaffenhofen.wasserwacht.de;Video/Embed;YouTube Embed;"Widget: widget_media_video"
14;"Kreiswasserwacht Pfaffenhofen an der Ilm";https://www.kww-pfaffenhofen.wasserwacht.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
15;"Wasserwacht Utting";https://www.wasserwacht-utting.de;Analytics/Tracking;Facebook SDK / Pixel;"Post-Content: ""Christbaumsammlung"" (ID 7890)"
15;"Wasserwacht Utting";https://www.wasserwacht-utting.de;Analytics/Tracking;Facebook SDK / Pixel;"Post-Content: ""Christbaumsammlung"" (ID 6393)"
15;"Wasserwacht Utting";https://www.wasserwacht-utting.de;Karten/Standort;Google Maps;"Post-Content: ""Christbaumsammlung"" (ID 3674)"
15;"Wasserwacht Utting";https://www.wasserwacht-utting.de;Karten/Standort;Google Maps;"Post-Content: ""Standorte"" (ID 2934)"
15;"Wasserwacht Utting";https://www.wasserwacht-utting.de;Video/Embed;YouTube Embed;"Post-Content: ""Unterstützen"" (ID 2904)"
15;"Wasserwacht Utting";https://www.wasserwacht-utting.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_69654331b5c6ea3ad3963c0734c0c882): ""Hagelsturm über dem Ammersee"" (ID 2044)"
15;"Wasserwacht Utting";https://www.wasserwacht-utting.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_dacf55db8eaf260ea8f3c8f3f2bbfe65): ""Hagelsturm über dem Ammersee"" (ID 2044)"
15;"Wasserwacht Utting";https://www.wasserwacht-utting.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
16;"    Wasserwacht Dettelbach";https://www.wasserwacht-dettelbach.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
17;"Wasserwacht Sand/Zeil";https://www.ww-sand-zeil.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
18;"Wasserwacht Weiherhammer";https://www.weiherhammer.wasserwacht.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
19;"Wasserwacht Langenzenn";https://www.wasserwacht-langenzenn.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
20;"Wasserwacht Bad Reichenhall";https://www.bad-reichenhall.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_404478cca002c0a3c413a9cdbec0e849): ""Internes"" (ID 183)"
20;"Wasserwacht Bad Reichenhall";https://www.bad-reichenhall.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_4ba54b8f4555069f641d488592ea907a): ""Internes"" (ID 183)"
20;"Wasserwacht Bad Reichenhall";https://www.bad-reichenhall.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_767d17cd807693d75e0892a2a4d0b558): ""Internes"" (ID 183)"
20;"Wasserwacht Bad Reichenhall";https://www.bad-reichenhall.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_1bd44fb296206675d05bc6caf1596418): ""Internes"" (ID 183)"
20;"Wasserwacht Bad Reichenhall";https://www.bad-reichenhall.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_1fe9af85b57354f8880f6e981af9a2eb): ""Internes"" (ID 183)"
20;"Wasserwacht Bad Reichenhall";https://www.bad-reichenhall.wasserwacht.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
21;"Wasserwacht Ebensfeld";https://www.ebensfeld.wasserwacht.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Analytics/Tracking;Facebook SDK / Pixel;"Post-Content: ""Kinderfasching am 04.02.2024"" (ID 31294)"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Analytics/Tracking;Facebook SDK / Pixel;"Post-Content: ""Schwimm- und Grillfest am 17.06.2023"" (ID 31103)"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Analytics/Tracking;Facebook SDK / Pixel;"Post-Content: ""Tauchübung in Künzing"" (ID 31065)"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Analytics/Tracking;Facebook SDK / Pixel;"Post-Content: ""Ramadama"" (ID 31063)"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Analytics/Tracking;Facebook SDK / Pixel;"Post-Content: ""Neue Rettungstaucherin für die Wasserwacht Arnstor"" (ID 31039)"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Analytics/Tracking;Facebook SDK / Pixel;"Post-Content: ""Gemeinschaftsübung mit der SEG Betreuung Rottal-In"" (ID 31031)"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Analytics/Tracking;Facebook SDK / Pixel;"Post-Content: ""Einsatz am Mertseestausee"" (ID 30930)"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Video/Embed;YouTube Embed;"Post-Content: ""Rettungstaucher und Hochwasserschützer"" (ID 30603)"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_cd488d8f2c57bec8d748e1c9bb18f204): ""Rettungstaucher und Hochwasserschützer"" (ID 30603)"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_735271009de4a229597c01a43c6e2846): ""Rettungstaucher und Hochwasserschützer"" (ID 30603)"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_91a8196d263e55b66451dae22845eceb): ""Rettungstaucher und Hochwasserschützer"" (ID 30603)"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_4e7bcd505ac9a29d4a140bef878b0e3e): ""BAYERN SCHWIMMT 2020"" (ID 30909)"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_484b5e361e9ae2e6f6a9b9bb5764731e): ""BAYERN SCHWIMMT 2020"" (ID 30909)"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_fdf951df12f867ade71c2dfc6321e642): ""BAYERN SCHWIMMT 2020"" (ID 30909)"
22;"Wasserwacht Arnstorf";https://www.wasserwacht-arnstorf.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
23;"Wasserwacht";https://www.wasserwacht-badstaffelstein.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
24;"Wasserwacht Neustadt an der Waldnaab";https://www.neustadt.wasserwacht.de;Analytics/Tracking;Facebook SDK / Pixel;"Post-Content: ""Führen im Einsatz III - SEG Leiter"" (ID 30520)"
24;"Wasserwacht Neustadt an der Waldnaab";https://www.neustadt.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_59b329e21f00f7d1176c86afe1d17be8): ""Willkommen"" (ID 5593)"
24;"Wasserwacht Neustadt an der Waldnaab";https://www.neustadt.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_5d7bc980bffd0130bc7aaf2440f0420d): ""Willkommen"" (ID 5593)"
24;"Wasserwacht Neustadt an der Waldnaab";https://www.neustadt.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_2d23f1a229a3439d5296e4792a646b43): ""Willkommen"" (ID 5593)"
24;"Wasserwacht Neustadt an der Waldnaab";https://www.neustadt.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_808e17f932f8ba6c5c1aed396a4b1700): ""Willkommen"" (ID 5593)"
24;"Wasserwacht Neustadt an der Waldnaab";https://www.neustadt.wasserwacht.de;Video/Embed;YouTube Embed;"Post-Meta (_oembed_3ff4569ee61cfbb222ee6da6c52b1b91): ""Willkommen"" (ID 5593)"
24;"Wasserwacht Neustadt an der Waldnaab";https://www.neustadt.wasserwacht.de;Analytics/Tracking;WP-Matomo (Piwik);"Netzwerk-Plugin: wp-piwik/wp-piwik.php"
25;"Wasserwacht Gunzenhausen";https://www.wasserwacht-gunzenhausen.de;Analytics/Tracking;Facebook SDK / Pixel;"Post-Content: ""Update Sanitätscontainer"" (ID 1309)"
